Score,Steps,Bombs_placed,Invalid_moves,Epsilon
49,136,0,1,0.02
49,135,0,1,0.02
49,145,0,1,0.02
49,121,1,1,0.02
49,119,0,0,0.02
49,136,0,1,0.02
49,130,2,0,0.02
49,131,1,0,0.02
49,121,0,0,0.02
49,130,0,0,0.02
49,121,0,0,0.02
49,136,1,0,0.02
49,123,0,0,0.02
49,119,0,0,0.5
11,33,1,3,0.47
2,8,1,1,0.46
17,65,4,7,0.41
12,36,1,3,0.38
15,46,4,3,0.35
19,60,2,8,0.31
49,209,8,13,0.22
49,192,4,11,0.17
46,155,4,5,0.15
39,97,3,4,0.14
49,149,2,6,0.13
49,140,1,3,0.12
27,67,2,3,0.12
49,156,4,6,0.1
49,156,1,3,0.1
49,145,1,1,0.09
24,50,1,0,0.09
49,128,1,4,0.08
49,120,1,3,0.08
49,150,2,1,0.08
16,35,1,0,0.08
49,149,2,3,0.07
49,149,3,6,0.07
49,131,0,2,0.07
50,163,4,1,0.06
6,23,2,1,0.06
37,97,2,3,0.06
49,136,1,1,0.06
49,122,1,2,0.05
49,137,0,1,0.05
49,118,2,1,0.05
49,139,1,1,0.05
25,58,2,2,0.05
49,127,0,4,0.05
50,138,3,2,0.04
49,123,1,2,0.04
49,133,2,2,0.04
49,127,1,1,0.04
49,117,0,0,0.04
49,134,0,1,0.04
9,19,1,2,0.04
49,120,1,0,0.04
49,104,0,1,0.04
49,127,0,1,0.04
49,124,1,2,0.03
8,15,1,0,0.03
49,136,1,0,0.03
49,121,0,0,0.03
49,149,0,1,0.03
49,128,0,1,0.03
49,125,0,0,0.03
49,152,0,1,0.03
49,115,0,0,0.03
49,135,1,3,0.03
40,90,2,0,0.03
49,141,3,0,0.03
49,112,0,0,0.03
49,122,0,1,0.03
30,59,1,0,0.03
49,121,1,0,0.03
49,129,0,2,0.03
49,131,0,1,0.03
49,116,0,0,0.03
49,116,0,0,0.03
49,121,0,1,0.03
49,127,0,0,0.03
49,132,0,0,0.03
49,130,0,1,0.02
49,122,1,0,0.02
49,139,0,0,0.02
49,140,0,0,0.02
49,129,0,2,0.02
49,139,1,2,0.02
49,123,0,0,0.02
49,151,1,2,0.02
18,41,1,0,0.02
25,55,1,0,0.02
49,135,0,0,0.02
49,114,0,1,0.02
49,123,1,0,0.02
49,120,0,1,0.02
49,131,0,1,0.02
49,144,2,0,0.02
49,136,0,1,0.02
49,141,0,0,0.02
49,122,1,0,0.02
49,123,0,0,0.02
49,121,0,1,0.02
49,129,1,0,0.02
49,126,0,0,0.02
49,129,0,0,0.02
49,150,0,0,0.02
49,136,0,1,0.02
49,127,0,2,0.02
49,130,1,1,0.02
49,133,0,0,0.02
49,131,1,1,0.02
16,48,1,1,0.02
49,127,1,0,0.02
49,140,0,1,0.5
13,46,2,5,0.46
2,7,1,1,0.45
33,121,6,15,0.37
1,7,1,2,0.36
18,48,2,5,0.33
2,7,1,0,0.33
32,116,6,11,0.28
38,105,4,5,0.24
16,44,1,0,0.23
13,55,3,4,0.21
50,157,6,4,0.18
49,150,2,4,0.17
49,139,0,5,0.15
22,47,1,1,0.14
21,64,3,8,0.13
49,139,0,7,0.12
6,9,1,0,0.12
15,35,1,2,0.12
49,161,3,2,0.11
49,153,2,3,0.1
16,36,1,0,0.1
37,88,1,0,0.1
49,138,0,5,0.09
49,136,1,3,0.08
29,80,1,1,0.08
49,127,1,3,0.07
49,139,0,1,0.07
17,44,1,2,0.07
49,143,0,3,0.07
38,91,1,3,0.06
49,118,0,0,0.06
49,139,1,1,0.06
49,148,2,2,0.06
46,123,1,3,0.05
49,132,2,1,0.05
40,115,3,1,0.05
49,122,1,2,0.05
44,113,2,0,0.05
49,137,0,2,0.05
49,120,3,0,0.04
5,12,1,1,0.04
49,126,0,0,0.04
48,119,1,1,0.04
23,49,1,0,0.04
49,160,3,2,0.04
49,123,0,1,0.04
49,127,0,1,0.04
49,132,1,0,0.04
49,131,1,1,0.03
49,139,1,0,0.03
49,127,0,0,0.03
49,135,0,2,0.03
49,137,1,0,0.03
49,125,1,1,0.03
49,134,0,0,0.03
49,134,0,0,0.03
49,140,1,1,0.03
49,127,0,0,0.03
49,128,0,0,0.03
49,132,0,1,0.03
48,138,3,1,0.03
49,134,1,0,0.03
49,126,1,1,0.03
49,132,1,0,0.03
49,127,1,0,0.03
47,118,1,4,0.02
49,131,0,0,0.02
49,131,0,0,0.02
49,139,0,0,0.02
37,84,1,4,0.02
49,121,0,0,0.02
40,89,1,0,0.02
49,126,1,0,0.02
49,119,0,0,0.02
49,137,1,2,0.02
49,127,0,0,0.02
49,140,0,2,0.02
49,141,0,0,0.02
49,134,1,0,0.02
49,116,0,0,0.02
49,118,0,1,0.02
49,118,0,1,0.02
49,128,0,0,0.02
49,141,1,1,0.02
49,127,1,0,0.02
49,136,0,0,0.02
49,142,0,1,0.02
45,105,2,0,0.02
49,125,0,2,0.02
49,134,0,1,0.02
49,115,0,0,0.02
49,120,0,0,0.02
49,131,0,0,0.02
Score,Steps,Bombs_placed,Invalid_moves,Epsilon
Score,Steps,Bombs_placed,Invalid_moves,Epsilon
Score,Steps,Bombs_placed,Invalid_moves,Epsilon
14,400,0,143,0.31
Score,Steps,Bombs_placed,Invalid_moves,Epsilon
Score,Steps,Bombs_placed,Invalid_moves,Epsilon
2,35,1,15,0.78
0,22,1,9,0.72
1,9,1,5,0.69
1,6,1,1,0.68
0,35,2,9,0.59
1,14,1,4,0.57
1,5,1,1,0.56
1,14,1,3,0.54
0,7,1,4,0.53
0,11,1,5,0.52
1,15,2,6,0.5
1,15,1,7,0.48
0,12,1,8,0.47
1,12,1,7,0.45
2,10,1,3,0.44
1,6,1,4,0.44
2,18,1,11,0.42
0,10,1,4,0.41
0,7,1,1,0.4
1,9,1,4,0.4
3,14,1,5,0.39
0,6,1,4,0.38
3,12,1,2,0.37
1,7,1,5,0.37
1,5,1,2,0.37
1,5,1,3,0.36
2,6,1,3,0.36
0,24,3,7,0.34
1,5,1,3,0.34
0,7,1,4,0.33
1,6,1,4,0.33
4,25,2,10,0.31
1,8,1,3,0.31
1,6,1,2,0.3
1,5,1,2,0.3
0,5,1,2,0.3
0,5,1,2,0.3
0,8,1,3,0.29
2,6,1,0,0.29
2,12,1,3,0.29
1,5,1,3,0.29
1,5,1,4,0.29
0,8,1,3,0.28
0,5,1,3,0.28
0,5,1,1,0.28
1,10,1,5,0.28
3,9,1,3,0.27
2,14,1,6,0.27
